provider,profile,task,ok,evidence,official,empty,elapsed_ms,sources,error
brave,web-search,ab-web-01,true,true,false,false,1030,8,""
brave,web-search,ab-web-02,true,true,true,false,885,8,""
brave,web-search,ab-docs-01,true,true,true,false,777,8,""
brave,web-search,ab-research-01,true,true,false,false,768,8,""
brave,web-search,ab-research-05,true,true,true,false,672,7,""
brave,web-search,ab-research-02,true,true,true,false,654,8,""
you,highlights,ab-code-04,true,true,true,false,1519,8,""
you,highlights,ab-code-03,true,true,true,false,823,8,""
you,highlights,ab-code-05,true,true,true,false,1008,8,""
you,highlights,ab-code-01,true,false,false,false,954,8,""
you,highlights,ab-gh-01,true,false,false,false,1012,8,""
you,highlights,ab-fresh-01,true,true,false,false,867,8,""
you,highlights,ab-web-01,true,true,true,false,933,16,""
you,highlights,ab-web-02,true,true,true,false,796,8,""
you,highlights,ab-docs-01,true,true,true,false,814,8,""
you,highlights,ab-research-01,true,true,false,false,849,8,""
you,highlights,ab-research-05,true,true,true,false,1009,8,""
you,highlights,ab-research-02,true,true,false,false,998,8,""
you,none,ab-code-04,true,true,true,false,698,8,""
you,none,ab-code-03,true,true,true,false,891,8,""
you,none,ab-code-05,true,true,true,false,712,8,""
you,none,ab-code-01,true,false,false,false,852,8,""
you,none,ab-gh-01,true,false,false,false,863,8,""
you,none,ab-fresh-01,true,true,true,false,750,8,""
you,none,ab-web-01,true,true,true,false,932,16,""
you,none,ab-web-02,true,true,true,false,1055,8,""
you,none,ab-docs-01,true,true,true,false,961,8,""
you,none,ab-research-01,true,true,false,false,1057,8,""
you,none,ab-research-05,true,true,true,false,1060,8,""
you,none,ab-research-02,true,true,true,false,710,8,""
parallel,advanced,ab-code-04,true,true,true,false,2007,7,""
parallel,advanced,ab-code-03,true,true,true,false,1688,7,""
parallel,advanced,ab-code-05,true,true,true,false,2001,6,""
parallel,advanced,ab-code-01,true,false,true,false,1932,8,""
parallel,advanced,ab-gh-01,true,false,false,false,1877,7,""
parallel,advanced,ab-fresh-01,true,true,true,false,2008,6,""
parallel,advanced,ab-web-01,true,true,false,false,1798,8,""
parallel,advanced,ab-web-02,true,true,true,false,1616,8,""
parallel,advanced,ab-docs-01,true,true,true,false,2580,8,""
parallel,advanced,ab-research-01,true,true,false,false,2025,8,""
parallel,advanced,ab-research-05,true,true,true,false,3041,5,""
parallel,advanced,ab-research-02,true,true,true,false,3910,8,""
parallel,basic,ab-code-04,true,true,true,false,1510,8,""
parallel,basic,ab-code-03,true,true,true,false,1327,8,""
parallel,basic,ab-code-05,true,true,true,false,1481,6,""
parallel,basic,ab-code-01,true,false,true,false,1415,8,""
parallel,basic,ab-gh-01,true,false,false,false,1329,8,""
parallel,basic,ab-fresh-01,true,true,true,false,1632,8,""
parallel,basic,ab-web-01,true,true,false,false,1131,8,""
parallel,basic,ab-web-02,true,true,true,false,1556,8,""
parallel,basic,ab-docs-01,true,true,true,false,1523,8,""
parallel,basic,ab-research-01,true,true,false,false,4620,8,""
parallel,basic,ab-research-05,true,true,true,false,1542,6,""
parallel,basic,ab-research-02,true,true,true,false,1444,8,""
